mapping_type,alz_original_column,mapped_genus,mia_column,used_in_model,notes
exact_match,k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Anaerostipes,Anaerostipes,Anaerostipes,True,Exact genus match
exact_match,k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Anaerotignum,Anaerotignum,Anaerotignum,True,Exact genus match
exact_match,k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Oscillospiraceae|g__Anaerotruncus,Anaerotruncus,Anaerotruncus,True,Exact genus match
alz_only_padded_in_miagb,k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales|f__Selenomonadaceae|g__Anaerovibrio,Anaerovibrio,,True,Absent in MiaGB; MiaGB value padded with 0
alz_only_padded_in_miagb,k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Eubacteriales_Family_XIII_Incertae_Sedis|g__Anaerovorax,Anaerovorax,,True,Absent in MiaGB; MiaGB value padded with 0
alz_only_padded_in_miagb,k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Oscillospiraceae|g__Angelakisella,Angelakisella,,True,Absent in MiaGB; MiaGB value padded with 0
alz_only_padded_in_miagb,k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Eubacteriales_Family_XIII_Incertae_Sedis|g__Bacilliculturomica,Bacilliculturomica,,True,Absent in MiaGB; MiaGB value padded with 0
alz_only_padded_in_miagb,k__Bacteria|p__Bacteria_unclassified|c__Bacteria_unclassified|o__Bacteria_unclassified|f__Bacteria_unclassified|g__Bacteria_unclassified,Bacteria_unclassified,,True,Absent in MiaGB; MiaGB value padded with 0
alz_only_padded_in_miagb,k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Bacteroidales_unclassified|g__Bacteroidales_unclassified,Bacteroidales_unclassified,,True,Absent in MiaGB; MiaGB value padded with 0
exact_match,k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides,Bacteroides,Bacteroides,True,Exact genus match
alz_only_padded_in_miagb,k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Eubacteriales_Family_XIII_Incertae_Sedis|g__Baileyella,Baileyella,,True,Absent in MiaGB; MiaGB value padded with 0
alz_only_padded_in_miagb,k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Bariatricus,Bariatricus,,True,Absent in MiaGB; MiaGB value padded with 0
exact_match,k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Barnesiellaceae|g__Barnesiella,Barnesiella,Barnesiella,True,Exact genus match
alz_only_padded_in_miagb,k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Bianqueaceae|g__Bianquea,Bianquea,,True,Absent in MiaGB; MiaGB value padded with 0
exact_match,k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium,Bifidobacterium,Bifidobacterium,True,Exact genus match
exact_match,k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Desulfovibrionales|f__Desulfovibrionaceae|g__Bilophila,Bilophila,Bilophila,True,Exact genus match
alz_only_padded_in_miagb,k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Oscillospiraceae|g__Bittarella,Bittarella,,True,Absent in MiaGB; MiaGB value padded with 0
alz_only_padded_in_miagb,k__Eukaryota|p__Eukaryota_unclassified|c__Bigyra|o__Opalinata|f__Blastocystidae|g__Blastocystis,Blastocystis,,True,Absent in MiaGB; MiaGB value padded with 0
exact_match,k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Blautia,Blautia,Blautia,True,Exact genus match
exact_match,k__Bacteria|p__Spirochaetes|c__Spirochaetia|o__Brachyspirales|f__Brachyspiraceae|g__Brachyspira,Brachyspira,Brachyspira,True,Exact genus match
exact_match,k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Hyphomicrobiales|f__Nitrobacteraceae|g__Bradyrhizobium,Bradyrhizobium,Bradyrhizobium,True,Exact genus match
alz_only_padded_in_miagb,k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Listeriaceae|g__Brochothrix,Brochothrix,,True,Absent in MiaGB; MiaGB value padded with 0
alz_only_padded_in_miagb,k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Brotolimicola,Brotolimicola,,True,Absent in MiaGB; MiaGB value padded with 0
alz_only_padded_in_miagb,k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Hyphomicrobiales|f__Brucellaceae|g__Brucella,Brucella,,True,Absent in MiaGB; MiaGB value padded with 0
alz_only_padded_in_miagb,k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Burkholderiaceae|g__Burkholderiaceae_unclassified,Burkholderiaceae_unclassified,,True,Absent in MiaGB; MiaGB value padded with 0
exact_match,k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Clostridiaceae|g__Butyricicoccus,Butyricicoccus,Butyricicoccus,True,Exact genus match
exact_match,k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Odoribacteraceae|g__Butyricimonas,Butyricimonas,Butyricimonas,True,Exact genus match
exact_match,k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Butyrivibrio,Butyrivibrio,Butyrivibrio,True,Exact genus match
exact_match,k__Bacteria|p__Proteobacteria|c__Epsilonproteobacteria|o__Campylobacterales|f__Campylobacteraceae|g__Campylobacter,Campylobacter,Campylobacter,True,Exact genus match
alz_only_padded_in_miagb,k__Bacteria|p__Firmicutes|c__Clostridia|o__Candidatus_Borkfalkiales|f__Candidatus_Borkfalkiaceae|g__Candidatus_Borkfalkia,Candidatus_Borkfalkia,,True,Absent in MiaGB; MiaGB value padded with 0
alz_only_padded_in_miagb,k__Bacteria|p__Bacillota|c__Clostridia|o__Eubacteriales|f__Eubacteriales_incertae_sedis|g__Candidatus_Cibionibacter,Candidatus_Cibionibacter,,True,Absent in MiaGB; MiaGB value padded with 0
exact_match,k__Bacteria|p__Candidatus_Melainabacteria|c__Candidatus_Melainabacteria_unclassified|o__Candidatus_Gastranaerophilales|f__Candidatus_Gastranaerophilales_unclassified|g__Candidatus_Gastranaerophilales_unclassified,Candidatus_Gastranaerophilales_unclassified,Candidatus_Gastranaerophilales_unclassified,True,Exact genus match
alz_only_padded_in_miagb,k__Archaea|p__Candidatus_Thermoplasmatota|c__Thermoplasmata|o__Methanomassiliicoccales|f__Candidatus_Methanomethylophilaceae|g__Candidatus_Methanomethylophilus,Candidatus_Methanomethylophilus,,True,Absent in MiaGB; MiaGB value padded with 0
alz_only_padded_in_miagb,k__Bacteria|p__Candidatus_Saccharibacteria|c__Candidatus_Saccharimonadia|o__Candidatus_Nanosynbacterales|f__Candidatus_Nanosynbacteraceae|g__Candidatus_Nanosynbacter,Candidatus_Nanosynbacter,,True,Absent in MiaGB; MiaGB value padded with 0
alz_only_padded_in_miagb,k__Bacteria|p__Candidatus_Saccharibacteria|c__Candidatus_Saccharimonadia|o__Candidatus_Saccharimonadales|f__Candidatus_Saccharimonadaceae|g__Candidatus_Nanosynsacchari,Candidatus_Nanosynsacchari,,True,Absent in MiaGB; MiaGB value padded with 0
exact_match,k__Bacteria|p__Candidatus_Saccharibacteria|c__Candidatus_Saccharibacteria_unclassified|o__Candidatus_Saccharibacteria_unclassified|f__Candidatus_Saccharibacteria_unclassified|g__Candidatus_Saccharibacteria_unclassified,Candidatus_Saccharibacteria_unclassified,Candidatus_Saccharibacteria_unclassified,True,Exact genus match
alz_only_padded_in_miagb,k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Eubacteriales_unclassified|g__Candidatus_Soleaferrea,Candidatus_Soleaferrea,,True,Absent in MiaGB; MiaGB value padded with 0
exact_match,k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales|f__Erysipelotrichaceae|g__Candidatus_Stoquefichus,Candidatus_Stoquefichus,Candidatus_Stoquefichus,True,Exact genus match
exact_match,k__Bacteria|p__Bacteroidota|c__Flavobacteriia|o__Flavobacteriales|f__Flavobacteriaceae|g__Capnocytophaga,Capnocytophaga,Capnocytophaga,True,Exact genus match
exact_match,k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Carnobacteriaceae|g__Carnobacterium,Carnobacterium,Carnobacterium,True,Exact genus match
alz_only_padded_in_miagb,k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Catenibacillus,Catenibacillus,,True,Absent in MiaGB; MiaGB value padded with 0
exact_match,k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales|f__Coprobacillaceae|g__Catenibacterium,Catenibacterium,Catenibacterium,True,Exact genus match
alz_only_padded_in_miagb,k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Micrococcales|f__Promicromonosporaceae|g__Cellulosimicrobium,Cellulosimicrobium,,True,Absent in MiaGB; MiaGB value padded with 0
exact_match,k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Christensenellaceae|g__Christensenella,Christensenella,Christensenella,True,Exact genus match
alz_only_padded_in_miagb,k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Christensenellaceae|g__Christensenellaceae_unclassified,Christensenellaceae_unclassified,,True,Absent in MiaGB; MiaGB value padded with 0
exact_match,k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales|f__Enterobacteriaceae|g__Citrobacter,Citrobacter,Citrobacter,True,Exact genus match
exact_match,k__Bacteria|p__Synergistetes|c__Synergistia|o__Synergistales|f__Synergistaceae|g__Cloacibacillus,Cloacibacillus,Cloacibacillus,True,Exact genus match
alz_only_padded_in_miagb,k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridia_unclassified|f__Clostridia_unclassified|g__Clostridia_unclassified,Clostridia_unclassified,,True,Absent in MiaGB; MiaGB value padded with 0
alz_only_padded_in_miagb,k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Clostridiaceae|g__Clostridiaceae_unclassified,Clostridiaceae_unclassified,,True,Absent in MiaGB; MiaGB value padded with 0
alz_only_padded_in_miagb,k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Peptostreptococcaceae|g__Clostridioides,Clostridioides,,True,Absent in MiaGB; MiaGB value padded with 0
exact_match,k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Clostridiaceae|g__Clostridium,Clostridium,Clostridium,True,Exact genus match
alz_only_padded_in_miagb,k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Eubacteriales_unclassified|g__Colidextribacter,Colidextribacter,,True,Absent in MiaGB; MiaGB value padded with 0
exact_match,k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales|f__Coriobacteriaceae|g__Collinsella,Collinsella,Collinsella,True,Exact genus match
exact_match,k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Comamonadaceae|g__Comamonas,Comamonas,Comamonas,True,Exact genus match
alz_only_padded_in_miagb,k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__Companilactobacillus,Companilactobacillus,,True,Absent in MiaGB; MiaGB value padded with 0
alz_only_padded_in_miagb,k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Oscillospiraceae|g__Congzhengia,Congzhengia,,True,Absent in MiaGB; MiaGB value padded with 0
exact_match,k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales|f__Coprobacillaceae|g__Coprobacillus,Coprobacillus,Coprobacillus,True,Exact genus match
exact_match,k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Barnesiellaceae|g__Coprobacter,Coprobacter,Coprobacter,True,Exact genus match
exact_match,k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Coprococcus,Coprococcus,Coprococcus,True,Exact genus match
exact_match,k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Corynebacteriales|f__Corynebacteriaceae|g__Corynebacterium,Corynebacterium,Corynebacterium,True,Exact genus match
