feature_set,feature,p_value,rank_biserial,abs_rank_biserial,mean_controls,mean_impaired,rank,selected
mw_top_5,Lacrimispora,3.6187730099930453e-09,-0.3244909502262443,0.3244909502262443,0.093501625,0.040114751131221725,1,True
mw_top_5,Holdemania,3.920689237140851e-09,-0.33840497737556563,0.33840497737556563,0.028190749999999997,0.01265900452488688,2,True
mw_top_5,Bacteroides,4.7265480390566385e-09,-0.3514705882352941,0.3514705882352941,8.8510471875,5.562548371040724,3,True
mw_top_5,Lachnospira,1.3084296287405654e-08,-0.34032805429864255,0.34032805429864255,1.9907521875,0.9428032126696833,4,True
mw_top_5,GGB9064,1.0095452036639039e-07,-0.23597285067873308,0.23597285067873308,0.018768812500000003,0.0028065610859728503,5,True
mw_top_15,Lacrimispora,3.6187730099930453e-09,-0.3244909502262443,0.3244909502262443,0.093501625,0.040114751131221725,1,True
mw_top_15,Holdemania,3.920689237140851e-09,-0.33840497737556563,0.33840497737556563,0.028190749999999997,0.01265900452488688,2,True
mw_top_15,Bacteroides,4.7265480390566385e-09,-0.3514705882352941,0.3514705882352941,8.8510471875,5.562548371040724,3,True
mw_top_15,Lachnospira,1.3084296287405654e-08,-0.34032805429864255,0.34032805429864255,1.9907521875,0.9428032126696833,4,True
mw_top_15,GGB9064,1.0095452036639039e-07,-0.23597285067873308,0.23597285067873308,0.018768812500000003,0.0028065610859728503,5,True
mw_top_15,GGB9614,2.7397902235090835e-07,-0.2541289592760181,0.2541289592760181,0.032974187499999995,0.013680769230769229,6,True
mw_top_15,Veillonella,8.516813618499236e-07,-0.2514423076923077,0.2514423076923077,0.08438812500000001,0.061065610859728496,7,True
mw_top_15,Blautia,1.0356145322913574e-06,0.29315610859728514,0.29315610859728514,6.7613943125,10.485767918552034,8,True
mw_top_15,Lawsonibacter,2.6946013021799495e-06,-0.2802319004524887,0.2802319004524887,0.13442418750000001,0.0949254298642534,9,True
mw_top_15,Roseburia,2.713197189615765e-06,-0.2815045248868778,0.2815045248868778,2.9933901874999997,1.8386548416289594,10,True
mw_top_15,Butyricimonas,2.8040546441438425e-06,-0.24785067873303168,0.24785067873303168,0.07359624999999999,0.03469628959276018,11,True
mw_top_15,GGB3828,2.901683944011345e-06,-0.16473416289592757,0.16473416289592757,0.0033685624999999996,0.00048330316742081444,12,True
mw_top_15,Hydrogenoanaerobacterium,3.297671510272249e-06,-0.24917986425339367,0.24917986425339367,0.029288500000000002,0.014578778280542987,13,True
mw_top_15,Odoribacter,4.845796635472992e-06,-0.26730769230769236,0.26730769230769236,0.22225068750000002,0.15097864253393664,14,True
mw_top_15,Bilophila,5.0865847732889884e-06,-0.2630090497737556,0.2630090497737556,0.095015375,0.057941990950226244,15,True
mw_top_20,Lacrimispora,3.6187730099930453e-09,-0.3244909502262443,0.3244909502262443,0.093501625,0.040114751131221725,1,True
